,codigo_municipio,longitud,latitud
0,acebeda-la,41.0869583,-3.624399
1,ajalvir,40.5342302,-3.4807818
2,alameda-del-valle,40.9177178,-3.8438216
3,alamo-el,40.2307296,-3.9905893
4,alcala-de-henares,40.4818396,-3.3644973
5,alcobendas,40.5400082,-3.6358494
6,alcorcon,40.3492998,-3.8284295
7,aldea-del-fresno,40.3215212,-4.19936
8,algete,40.5961652,-3.4974246
9,alpedrete,40.6599005,-4.0251223
10,ambite,40.3289723,-3.1812115
11,anchuelo,40.4653862,-3.2689196
12,aranjuez,40.03221,-3.6039604
13,arganda-del-rey,40.3007708,-3.4380688
14,arroyomolinos,39.1855991,-6.1630632
15,atazar-el,40.9343489,-3.4710919
16,batres,40.2091393,-3.9215947
17,becerril-de-la-sierra,40.7163374,-3.9890681
18,belmonte-de-tajo,40.1336305,-3.3398654
19,berrueco-el,40.8889705,-3.5614344
20,berzosa-del-lozoya,40.9757802,-3.5236736
21,boadilla-del-monte,40.4053485,-3.8764663
22,boalo-el,40.7173359,-3.9202198
23,braojos,41.0400124,-3.6425888
24,brea-de-tajo,40.2302134,-3.1092543
25,brunete,40.4050499,-3.9979912
26,buitrago-del-lozoya,40.9953477,-3.6350501
27,bustarviejo,40.8587766,-3.7097632
28,cabanillas-de-la-sierra,40.8216089,-3.6259742
29,cadalso-de-los-vidrios,40.3014283,-4.4408876
30,camarma-de-esteruelas,40.5490368,-3.3786211
31,campo-real,40.3381881,-3.3813911
32,canencia,40.9095894,-3.7375609
33,carabana,40.256626,-3.2347206
34,casarrubuelos,40.1707803,-3.8308526
35,cenicientos,40.2631894,-4.4669801
36,cercedilla,40.7412931,-4.0558002
37,cervera-de-buitrago,40.9211319,-3.5293404
38,chapineria,40.379164,-4.2097254
39,chinchon,40.1408293,-3.4231474
40,ciempozuelos,40.1580087,-3.6205514
41,cobena,40.5676083,-3.5048565
42,collado-mediano,40.6943707,-4.0247212
43,collado-villalba,40.6431496,-3.9930128
44,colmenar-del-arroyo,40.4179997,-4.1972768
45,colmenar-de-oreja,40.1074198,-3.3871634
46,colmenarejo,40.5607257,-4.0165248
47,colmenar-viejo,40.6587726,-3.7659722
48,corpa,40.4235374,-3.2652482
49,coslada,40.423802,-3.5552882
50,cubas-de-la-sagra,40.1908352,-3.8378366
